Block_ID,Prev_Blk_ID,Arrival_time,Time_addn_to_tree,Num_txnsis_malicious_mined
16,1,2.53015e+07,2.53015e+07,10
5,1,3.87074e+07,3.87074e+07,10
6,1,4.8775e+07,4.8775e+07,10
28,6,1.49798e+08,1.49798e+08,10
14,28,1.64646e+08,1.64646e+08,60
26,5,2.07908e+08,2.07908e+08,10
8,6,2.36274e+08,2.36274e+08,80
4,14,2.98632e+08,2.98632e+08,70
9,8,3.05865e+08,3.05865e+08,30
15,16,3.16014e+08,3.16014e+08,30
11,26,3.45531e+08,3.45531e+08,90
34,4,3.58079e+08,3.58079e+08,290
33,4,3.5899e+08,3.5899e+08,310
54,15,3.70375e+08,3.70375e+08,60
56,11,3.80818e+08,3.80818e+08,130
18,34,3.84492e+08,3.84492e+08,520
19,56,4.02995e+08,4.02995e+08,740
43,9,4.11219e+08,4.11219e+08,100
22,56,4.33863e+08,4.33863e+08,660
69,22,4.47089e+08,4.47089e+08,2240
25,54,4.94589e+08,4.94589e+08,840
50,18,5.08488e+08,5.08488e+08,1730
13,43,5.62983e+08,5.62983e+08,1990
